time 0ms: Simulator started (Contiguous -- Next-Fit)
time 0ms: Process A arrived (requires 45 frames)
time 0ms: Placed process A:
time 0ms: Process B arrived (requires 28 frames)
time 0ms: Placed process B:
time 0ms: Process C arrived (requires 58 frames)
time 0ms: Placed process C:
time 0ms: Process D arrived (requires 86 frames)
time 0ms: Placed process D:
time 0ms: Process E arrived (requires 14 frames)
time 0ms: Placed process E:
time 100ms: Process F arrived (requires 24 frames)
time 100ms: Placed process F:
time 350ms: Process A removed:
time 400ms: Process A arrived (requires 45 frames)
time 401ms: Process A arrived (requires 45 frames)
time 401ms: Placed process A:
time 435ms: Process G arrived (requires 13 frames)
time 436ms: Process G arrived (requires 13 frames)
time 437ms: Process G arrived (requires 13 frames)
time 438ms: Process G arrived (requires 13 frames)
time 439ms: Process G arrived (requires 13 frames)
time 440ms: Process G arrived (requires 13 frames)
time 441ms: Process G arrived (requires 13 frames)
time 442ms: Process G arrived (requires 13 frames)
time 443ms: Process G arrived (requires 13 frames)
time 444ms: Process G arrived (requires 13 frames)
time 445ms: Process G arrived (requires 13 frames)
time 446ms: Process G arrived (requires 13 frames)
time 447ms: Process G arrived (requires 13 frames)
time 448ms: Process G arrived (requires 13 frames)
time 449ms: Process G arrived (requires 13 frames)
time 450ms: Process A removed:
time 450ms: Process G arrived (requires 13 frames)
time 451ms: Process G arrived (requires 13 frames)
time 452ms: Process G arrived (requires 13 frames)
time 453ms: Process G arrived (requires 13 frames)
time 454ms: Process G arrived (requires 13 frames)
time 455ms: Process G arrived (requires 13 frames)
time 456ms: Process G arrived (requires 13 frames)
time 457ms: Process G arrived (requires 13 frames)
time 458ms: Process G arrived (requires 13 frames)
time 459ms: Process G arrived (requires 13 frames)
time 460ms: Process G arrived (requires 13 frames)
time 461ms: Process G arrived (requires 13 frames)
time 462ms: Process G arrived (requires 13 frames)
time 463ms: Process G arrived (requires 13 frames)
time 464ms: Process G arrived (requires 13 frames)
time 465ms: Process G arrived (requires 13 frames)
time 466ms: Process G arrived (requires 13 frames)
time 467ms: Process G arrived (requires 13 frames)
time 468ms: Process G arrived (requires 13 frames)
time 469ms: Process G arrived (requires 13 frames)
time 470ms: Process G arrived (requires 13 frames)
time 471ms: Process G arrived (requires 13 frames)
time 472ms: Process G arrived (requires 13 frames)
time 473ms: Process G arrived (requires 13 frames)
time 474ms: Process G arrived (requires 13 frames)
time 475ms: Process G arrived (requires 13 frames)
time 476ms: Process G arrived (requires 13 frames)
time 477ms: Process G arrived (requires 13 frames)
time 478ms: Process G arrived (requires 13 frames)
time 479ms: Process G arrived (requires 13 frames)
time 480ms: Process F removed:
time 480ms: Process G arrived (requires 13 frames)
time 481ms: Process G arrived (requires 13 frames)
time 482ms: Process G arrived (requires 13 frames)
time 483ms: Process G arrived (requires 13 frames)
time 484ms: Process G arrived (requires 13 frames)
time 485ms: Process G arrived (requires 13 frames)
time 486ms: Process G arrived (requires 13 frames)
time 487ms: Process G arrived (requires 13 frames)
time 488ms: Process G arrived (requires 13 frames)
time 489ms: Process G arrived (requires 13 frames)
time 490ms: Process G arrived (requires 13 frames)
time 491ms: Process G arrived (requires 13 frames)
time 492ms: Process G arrived (requires 13 frames)
time 493ms: Process G arrived (requires 13 frames)
time 494ms: Process G arrived (requires 13 frames)
time 495ms: Process G arrived (requires 13 frames)
time 496ms: Process G arrived (requires 13 frames)
time 497ms: Process G arrived (requires 13 frames)
time 498ms: Process G arrived (requires 13 frames)
time 499ms: Process G arrived (requires 13 frames)
time 500ms: Process G arrived (requires 13 frames)
time 500ms: Process F arrived (requires 24 frames)
